"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","380","340","380","390","410","460","460","440","460","480","520","520","500","570","640","710","790","870","930","1020","1130","1210","1280","1510","1650","1870","2010","2140","2300","2410",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14698.4996927618","15383.930092765","15856.4488613582","16120.4172413036","16848.4049968993","17677.3444751954","18284.9891864633","19031.7699676001","19896.5238741803","20729.9022262169","22061.2179132892","23093.691740273","24024.3776919291","24524.9758845472","25728.4475252466","26747.454208578","29066.4753459339","30834.7534997971","32265.8357929131","31789.7888241555","32847.5794081862","34450.1152029758","34975.3797953886","36174.2505069531","37109.242715886","38103.9829545354","40530.4479925328","42639.4448479397","44650.1467064893","46515.2307310106","",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1758.92249658774","1845.61792906428","1922.32173959176","1964.40910141679","1957.74543522394","2002.85435470358","2080.57170333393","2197.36663106309","2314.91686451137","2371.55816189469","2487.13392674508","2601.02844347378","2585.36444906912","2470.13389699827","2834.72596821899","3031.19957454201","3361.43139390113","3617.73735692464","3850.64467501969","3930.20324751892","4101.10914253626","4034.07752936399","4348.92620412565","4484.37235045083","4596.92279746836","4359.55374918772","4351.8363834675","4505.51009251954","4611.45901312779","4723.34146073294","4438.30333311786",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17790","17040","16530","16620","17700","18970","19590","21460","23120","24520","26630","27800","28690","28850","31400","32190","34720","37900","40150","38470","39490","41070","41060","41660","42180","42920","45140","47590","49950","51800","51650",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4050","4070","4340","4470","4670","4960","5270","5160","5150","5650","5950","6010","6400","6520","7040","7380","7280","7460","7590","7620","7670","8010","8510","9350","10820","11660","11940","12370","13260","13090","10910",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17670","18340","18990","19250","20020","20800","21490","22510","23660","24790","26510","28000","28820","28520","29440","31020","33070","34760","35860","35500","36760","38440","38500","40410","41010","41730","43830","45580","47600","50400","",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2360","2360","2420","2360","2180","2250","2380","2550","2660","2710","2800","2830","3010","3120","3190","3160","3340","3380","3530","3550","3540","3470","3980","3930","3960","3630","4100","",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11190","11960","11200","11430","12120","12450","12810","13430","14000","12530","11850","12350","12710","12640","12120","13280","12470","12960","12500","12570","12890","13490","13820","13650","14570","13480","13180","14060","14110","14320","14130",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17310","17690","18330","19170","20620","19900","21140","22650","23740","24330","26520","27930","29370","30620","32240","33030","34690","35340","36310","34780","36490","37320","37900","39120","40450","41590","43080","45180","46530","47620","",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580","1830","1700","1800","2160","2660","2890","3080","3140","3400","3660","4170","4610","5220","5980","6830","7100","6960","7430","8120","9720","10420","11420","11820","12260","12920","14030","14930","14160",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1290","1340","1390","1430","1480","1530","1580","1640","1690","1740","1810","1880","1960","2080","2220","2380","2490","2700","2780","2920","3270","3590","5150","5280","5050","4800","4860","5220","5480","5470",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","880","910","960","1000","1040","1080","1120","1140","1180","1200","1240","1320","1280","1320","1350","1460","1560","1620","1560","1640","1710","1770","1720","1750","1790","2040","2410","2470","2540","2580",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1530","1570","1610","1590","1600","1620","1650","1670","1740","1810","1900","1790","1920","2100","2050","2030","2090","2210","2300","2390","2170","2150","2080","1980","2020","2030","2030","2170","2280","2240",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1050","1070","1110","1150","1280","1370","970","980","1040","1050","1060","1060","1090","1150","1190","1240","1260","1280","1330","1450","1360","1340","1430","1640","1790","1930","1880","2060","1980",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","700","940","1020","1020","1100","1750","4550","5020","6470","5890","6420","8230","7840","9850","14200","23340","26790","28460","24770","19350","22180","24910","23770","22910","18130","15850","16600","15980","14070","13350",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27980","28530","29940","29710","27320","24960","25120","25940","26810","26690","27330","28490","29330","30620","",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4530","4840","4900","4810","4940","5040","5310","5630","6280","6760","7150","7010","7270","8110","8030","10070","9930","10650","10960","9950","10300","10660","10690","11470","11860","12490","13650","14470","15530","16030","14370",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","3420","3570","3710","3850","4020","4100","4250","4430","4550","4700","4840","4940","5050","5220","5440","5760","6150","6410","6350","6450","6720","7060","7270","7560","8000","8040","8150","8490","8850","8690",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720","2830","3230","3700","4170","4480","5060","5440","5480","5710","5870","6120","6280","6400","6720","6830","7240","8190","8470","8850","9350","9960","10540","11100","11020","11260","11290","11980","12700","13510","15370",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18279.6215786232","19103.7812932827","19871.2263090494","20448.9253048533","21434.0404893102","22328.5149816172","23352.1742034946","24477.0795580358","25381.517187433","26402.7016065487","28140.3071795652","29058.6610836827","29902.5015462618","30894.0883843966","32668.9026014506","34324.78748399","36677.5245218234","38260.9409683486","39025.9431609477","38069.9311360031","39693.1268397579","41454.0614319996","42744.4895906417","44075.709537908","45349.3645325465","46037.9553914481","47207.6503504441","49204.2926148727","51136.9784837322","52628.6800039626","",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17760","19150","20600","22930","24190","24950","24910","26620","25630","26420","28480","29490","29820","31960","35250","38260","42680","46640","49530","47250","50230","53710","52990","54710","55910","57450","58660","62450","65500","65240","62510",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","1870","1960","2120","2110","2220","2240","2340","2400","2370","2510","2560","2620","2700","2850","3060","3280","3550","3700","3600","3600","3720","3750","3850","4090","4490","4790","5220","5360","5520","5050",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941.414937054569","951.650235505718","951.667221100489","970.30674428197","971.408546042807","1008.93396686755","1064.25683849442","1104.55683510714","1130.08158603292","1150.2262649549","1173.12165477999","1210.54459477245","1238.62601088738","1278.81017290525","1348.63812218917","1437.07000407608","1525.81417425209","1627.48899721585","1710.59551169261","1759.45662647304","1842.63943475133","1906.32634684487","1932.7610900481","2047.82498106599","2199.38940653624","2284.68627685669","2363.81174711034","2439.32443797967","2545.12202313249","2628.26101312338","2590.37101481515",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7980","8690","9450","9750","9660","10390","11310","12430","13090","14280","14930","16970","18870","20090","19260","19140","20130","20450","21380","21600","22860","24130","26410","28140","29790","28630",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050","2120","2010","1910","1690","1860","1940","1990","2020","2070","2100","2100","2110","2180","2180","2290","2370","2530","2600","2750","2630","2810","2770","2880","2910","2910","3040","2990","3070","3040","2930",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8190","8590","8780","8910","9220","9750","10170","11170","12450","13700","14600","15240","16000","17200","17600","19330","19790","20740","21900","22230","23810","24540","25570","27200","28310","30660","33070","",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2843.53860777021","2966.09855247318","3053.91069028587","3185.61141488324","3309.7176083462","3479.09371798186","3682.63635055889","3882.57479158391","3903.64471062606","4053.94721330862","4353.3843336936","4574.97527047701","4805.56499503552","5122.75567985962","5611.31216330597","6125.83964414178","6865.99194885706","7618.22526419303","8240.48452837713","8466.12557645676","9120.83644093892","9808.34976571584","10430.744566369","10898.7217150349","11261.7095602227","11347.6710558928","11735.4524239822","12368.5070206144","13126.1381811899","13741.4365431469","13479.244462652",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2534.91337298604","2637.54264364218","2711.28765150161","2814.95737645833","2913.98472883311","3054.39567436345","3224.53120519687","3386.53151373819","3404.14279694554","3526.99153031087","3766.4271708583","3950.87602635767","4140.43037319654","4398.68359978892","4801.13780271055","5224.36915834398","5828.40612240017","6432.9793821924","6927.37591888147","7106.34722361056","7623.64694998707","8158.52112544106","8638.02842537339","9013.27599596854","9313.62433316718","9383.16181979654","9672.76306088386","10155.859349055","10742.8655782849","11207.7983962944","10968.8461284926",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1274.71826786143","1309.44956541355","1343.34094869524","1349.33236811161","1365.6514173271","1411.86425508499","1473.43037341313","1510.75563655452","1540.00603383041","1583.47439531835","1623.84843190361","1702.50789136854","1775.26137721593","1855.69881163941","1990.97843886483","2137.05492686622","2317.74949288624","2470.79875829406","2592.18008071999","2678.68596964717","2810.02998179111","2911.47026769898","3004.59410433662","3163.38407071551","3350.83531138075","3452.53042356611","3525.50405887916","3646.3560150313","3827.38214486962","3960.61810746256","3895.90026661121",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1877.21842604189","1937.77563537046","2013.41109061218","1983.27463072356","2009.29242465622","2058.52356121389","2140.4456554496","2166.98531353526","2187.00715713553","2243.2487243623","2267.16738004535","2383.58971436039","2508.90160716605","2625.95657377906","2840.71379268003","3037.10471797168","3318.49509577569","3491.81656678175","3623.33607225336","3729.99156019712","3892.3194824243","4058.347745499","4143.37353192778","4298.97992304491","4532.6930362583","4605.99784905106","4591.93041607792","4696.68783281171","4866.89445873282","4958.85595592564","4862.80082552659",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2930","3190","3410","3700","4050","4390","4760","4980","4200","4140","4430","4770","5040","5260","5550","5950","6420","6930","7440","7740","8280","8840","9440","9770","9930","9910","10160","10590","11300","11940","11750",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957.292581668542","977.941655115583","989.159699231333","1017.79907676297","1029.26718566316","1075.29592512084","1126.59669061586","1170.74709198774","1205.64038866942","1242.63904935662","1293.52051542563","1352.70756745538","1397.56329847083","1459.59390093521","1553.20503288817","1674.33135339718","1801.99687091306","1946.70873991839","2064.47665207802","2140.6556013782","2255.58600708497","2323.52025005709","2421.33147372123","2583.02600949309","2746.87903820187","2865.97528093808","2989.89575842553","3122.29532822477","3313.38431091668","3473.34315967948","3425.52281551932",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1190","1210","1280","1350","1440","1560","1680","1740","1840","1990","2070","2190","2270","2450","2680","2930","3210","3510","3630","3890","4190","4450","4800","4990","5170","5400","5720","6120","6600","6930","6390",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12750","13410","13900","14600","15780","17280","18780","20440","22480","23550","26320","27810","29520","31240","33390","35030","38740","40400","38310","34740","36290","36400","37280","40400","43200","53070","58440","62640","66860","69190","",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7200","8190","8450","8600","8490","8730","9230","9330","9530","9670","10320","10510","11320","12360","13050","13720","14710","16190","16380","16430","17390","18010","16060","15380","15280","13620","14050","14560","13870","12920","13150",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2640","3490","4570","4700","4760","5210","6150","8130","9370","10990","11080","9930","6350","9750","9070","10070","10580","12200","12460","12860","13500","15240","15470","13810","9680","9340","10640","10510","10950","9660",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23510","24490","26450","28150","28980","28680","30820","32660","32410","34330","35470","36290","38740","34050","33610","32190","34550","36690","42100","43500","46470","50990","53920","55340","59590","",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19440","20190","20730","21360","21660","23440","23940","24370","23030","24520","24640","25600","27460","26930","26830","28290","30080","30880","33460","34060","35170","37450","38640","40310","41750","",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18360","19230","19780","20100","20940","22070","22780","23760","24880","25550","26980","27960","28610","29030","29480","30180","32540","34130","35200","34610","35110","36510","36440","36250","36200","36640","40040","41810","43590","45240","42270",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4300","4610","4860","5670","5650","5890","6090","6030","5910","5990","6110","6220","6300","6640","6880","7100","7550","7830","7960","7530","7600","7870","8080","8240","8360","8520","8800","9330","9590","9930","8850",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4010","4520","4620","4750","4990","5020","5230","5410","5560","6010","6380","6660","6950","7630","8260","8880","9480","9740","9780","9390","9320","9080","9230","9080","9360","9370","9950","10210","10500","10320",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19720","20990","21600","21930","22550","23610","24800","25470","25380","25630","27220","27890","28560","29380","30920","32350","33960","35540","35710","34010","35890","36790","38190","40280","40590","41940","41310","42430","43220","43760","",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6820","6160","5880","6090","6380","6440","6640","7250","8540","9620","10540","11650","12580","13910","15240","15360","16030","16710","17790","19050","21900","22190","21760","21490","22160","22940","24040","24380",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1450","1430","1400","1440","1500","1560","1560","1590","1600","1600","1650","1650","1680","1760","1890","2010","2140","2140","2160","2300","2440","2520","2740","2980","3320","3580","3970","4230","4420","4370",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2080","1790","1440","1370","1470","1600","1610","1650","1750","1910","1930","2090","2230","2300","2460","2730","2910","2980","2890","2950","3530","3810","4100","4050","4440","4800","5100","5000","4750",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","780","810","840","860","950","1040","1120","1180","1290","1440","1640","1850","2080","2220","2200","2320","2490","2720","2920","3020","3180","3450","3680","3970","4310","4250",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1530","2050","2110","2060","2100","2230","1950","2360","2650","2400","2570","2710","2600","2500","2400","2470","2470","2570","2560","2410","2510","2430","2780","3160","3610","4340","3930","4280","4270","4640","4250",
"St. Kitts and Nevis","KNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9150","9140","9540","10300","10970","11790","12430","13300","13050","13480","15080","15970","16170","15390","16520","18730","20000","20590","22070","21160","21250","21950","20850","21770","22180","22240","23420","24120","25300","26090","24190",
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8340","9460","10170","11010","12150","13450","14640","15630","14780","16620","18420","19580","21320","22010","23720","25010","26800","28980","29950","29480","31800","32750","33910","34460","35500","38020","39720","41120","42660","43100","43480",
"Kuwait","KWT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70690","70580","72520","72150","64330","66160","63800","62670","72850","83510","92860","100160","101360","96660","84620","80000","82740","87030","84000","76820","52460","49900","58770","58550","58930","",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5876.36773620061","6198.60103222773","6403.3848038137","6581.27344887593","6921.47949529592","7045.74999227719","7298.79027136735","7675.84680235051","7785.52130529726","7786.29711934358","8203.71381199158","8287.74913639912","8358.77268702735","8613.68851980375","9138.14346162587","9676.50215817621","10545.3941240389","11305.0183833509","11926.6171342797","11759.6462567321","12498.322250271","13341.2663890616","13605.4360468478","14102.5005948157","14409.2856643205","14227.3036252899","14420.8772128885","15006.004413855","15358.9006756119","15643.3678773104","14669.027594431",
"Lao PDR","LAO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","1080","1130","1190","1280","1370","1460","1520","1560","1700","1760","1870","1990","2070","2270","2510","2670","2970","3170","3440","3580","3870","4550","5000","5610","5890","6550","6870","7410","7730","7790",
"Lebanon","LBN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4680","5810","6700","7070","7530","7960","8700","8750","8980","8970","9120","9110","8750","7670","9300","9860","10350","11870","13010","14010","14760","14580","14750","14880","14870","14910","15230","15920","15870","14990","11960",
"Liberia","LBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","830","850","580","610","660","740","820","880","910","930","1040","1060","1210","1240","1180","1260","1380","1330","1320","1250",
"Libya","LBY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17880","20410","20960","23840","26360","28240","29030","28690","29880","11500","23710","19740","14510","12740","11430","13690","15650","16100","11250",
"St. Lucia","LCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6130","6260","6900","6940","7150","7290","7590","7550","7990","8250","8330","8030","8230","8600","9290","9450","11120","11360","12000","11810","12080","13090","12770","13180","12920","12410","13420","14150","14780","15230","12200",
"Latin America & Caribbean","LCN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6042.48819133346","6404.91974479171","6641.39798817746","6829.19122698789","7144.57580073145","7313.44978628741","7572.26180855637","7976.23293754623","8094.46982607735","8076.92206106457","8503.79249529384","8614.83897426128","8630.52419784163","8838.75204265425","9450.45638959698","10054.5000099703","11008.3459577033","11836.3766907241","12454.0701613553","12250.3838851348","12964.7172809104","13827.8653310513","14120.896724694","14634.1750712489","14953.665412607","14789.6962282285","15022.448470636","15634.3650071277","16007.0304259264","16355.6670731974","15363.266584093",
"Least developed countries: UN classification","LDC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","858.882710647778","888.918819427709","864.742173299246","892.384671211567","903.050683422139","970.424319571222","1016.99143004642","1063.98359151997","1092.53057167304","1121.22162900705","1174.65732173108","1232.78900987224","1287.99286410081","1347.29580066055","1436.76286913244","1555.71335247555","1683.23617771575","1834.2263601898","1949.76418926585","2032.44489719628","2144.30469216911","2204.51152982956","2296.11737213299","2403.61754939115","2559.21335490341","2617.26373242434","2729.6075961252","2849.37934559601","3003.64277375545","3135.37802837617","3085.8430986678",
"Low income","LIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","821.759662986371","835.064061225111","845.595066025315","878.811258023494","892.147760365205","927.096198477375","976.672588103914","1015.73429949021","1040.93541271352","1054.42767369846","1088.39093283118","1137.65073719055","1165.17258015334","1204.6832209924","1272.4421715692","1360.05582443407","1446.81929374123","1569.39498298239","1644.66070400801","1702.50146838079","1818.35340697263","1795.54164879399","1786.18728437927","1847.18189880761","2026.33524790112","2093.67650788803","2211.98296865184","2290.73607024125","2389.88760960178","2465.45052219414","2448.56725238465",
"Liechtenstein","LIE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2290","2450","2600","2820","3000","3180","3340","3600","3780","3970","4270","4270","4480","4820","5170","5610","6170","6730","7140","7470","8110","8920","10130","10600","11000","11270","11900","12250","12810","13230","12870",
"Lower middle income","LMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1976.68521588777","2051.96507346798","2105.51816335528","2147.82745604723","2209.47312035873","2323.0762099461","2457.92172680403","2542.35275103124","2554.32467293836","2653.0377155071","2777.25859363688","2924.85058268892","3060.65544495693","3258.7197334776","3506.46796185925","3769.01085002489","4090.98890047408","4431.0712956184","4627.52923094476","4786.83066755033","5087.70455033816","5357.8864343736","5643.83242076914","5851.83613395004","6013.66601387648","6121.61165962123","6347.91328396872","6649.70204556844","7040.67179628917","7323.23993903519","7007.14117521608",
"Low & middle income","LMY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2451.7931191903","2550.55353194288","2618.72543700262","2718.47635205692","2814.10072054955","2945.89588613685","3110.81039030307","3264.13117879121","3276.71899887437","3401.13533734625","3635.37090148572","3815.90407002797","4008.13529312288","4270.54225225932","4661.23814647318","5074.3869898807","5661.77819305149","6251.17615159279","6735.33299001678","6919.1690898127","7429.84016909227","7952.31820517052","8426.36179297497","8795.221808028","9091.27822018217","9153.1910467869","9432.90223907825","9904.25526848788","10480.7345179014","10929.344088831","10693.3757351416",
"Lesotho","LSO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","1350","1370","1360","1420","1430","1510","1550","1520","1560","1600","1920","1970","2090","2100","2130","2210","2640","2760","2670","2770","2740","2700","2940","3120","3440","3400","3030","3050","3060","2740",
