"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24470","25430","26900","28590","29360","30180","31540","33180","35580","37500","38970","39780","38220","39320","40880","41540","43620","45010","43990","45900","47700","49390","50010","47500",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6537.68918817573","6847.60009723463","7308.89946991631","7878.20090497894","8278.94331755638","8568.34407570756","8953.3983105326","9235.76518983941","9864.36673084352","10640.2247196098","11442.5554341615","12031.4224329149","12982.4964528101","13898.5151657827","15341.6362052866","16898.9207739533","19018.9925211579","19121.2361326947","20086.625522073","21342.8762289005","22174.6743454824","23240.5849794766","24197.0655849254","25222.6803371731","26896.3375117063","28870.2831877189","30808.6505859593","33006.1918648894","32942.61523233",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31470","32230","34120","35450","36660","39110","39310","39750","41230","42690","45080","49720","51350","50560","54270","57900","58510","61140","63430","64210","67430","68440","67870","70230","73620","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4700","5390","5910","6270","7070","7750","8370","8790","8720","9220","9640","9930","10180","10840","11640","13840","15050","15220","15060","16880","19110","20490","21300","21910","22010","22710","23460","23620","25040","23980",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1260","1450","1660","1830","2030","2240","2410","2620","2890","3160","3500","3910","4410","5020","5830","6830","7620","8290","9210","10200","11170","11830","12570","12930","13520","14330","15520","16730","17200",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1780","1770","1740","1800","1910","2060","2140","2230","2230","2080","2030","1960","1870","2000","2210","2260","2310","2370","2410","2430","2310","2540","2700","3050","4550","4620","4690","4960","5290","5300",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1680","1630","1500","1520","1550","1610","1670","1750","1800","1830","1880","1960","2080","2250","2290","2410","2500","2590","2620","2650","2750","2810","2950","3160","3210","3350","3490","3620","3720","3720",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","490","520","490","480","440","440","410","430","450","470","500","530","550","560","580","610","640","630","690","780","840","940","1030","1080","1110","1100",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2940","3040","3220","2960","2940","2150","2190","2620","2810","2510","2710","2780","2930","2990","2870","3310","3980","3650","3990","4570","4970","4890","5990","5930","6020","4610","3670","3650","3430","3140","3110",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4810","5000","5240","5580","5980","6310","6420","6640","6660","6380","6550","6670","6830","7070","7540","8120","8800","9490","9830","9940","10340","11110","11560","12280","12910","13080","13660","13910","14480","15280","14280",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1580","1510","1640","1670","1570","1610","1580","1620","1620","1630","1800","1840","1860","1890","1930","2000","2070","2100","2160","2190","2250","2340","2510","2640","2720","2720","2880","3050","3160","3200","3330",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070","1090","1210","1300","1540","1740","1920","2130","2360","2600","2960","3080","3200","3360","3740","4010","4380","5210","5560","5470","5440","5730","5570","5590","5460","5770","6100","6410","6860","7320","6230",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4810","5050","5510","5890","6210","6420","6490","6800","7130","7250","7480","7770","8030","8400","8910","9470","10410","11460","12150","11820","12450","13090","13870","14460","15400","16360","18270","19280","19870","20520","19840",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5729.45656842368","5970.46190964898","6312.10925578478","6746.8873100719","6939.97211338016","7362.06090776893","7798.31673469317","8040.61160481179","8216.25815736826","8648.69498914107","9038.61014189576","9350.1802113077","9813.85258366016","10545.745562109","11343.9296913638","11964.446508826","13148.6437336075","13974.4634577602","14434.3437606445","13873.5290501066","14222.8368338459","14183.5335739755","14417.3979623319","14837.2330401901","14834.6048712838","14805.8558054096","14660.6582508516","15337.4738506412","15660.8084455091","16158.8101275326","14686.197175834",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25350","25930","26750","26940","26440","26790","27060","25800","25470","25120","25070","24680","25690","26520","26620","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59910","61850","42510","37500","36380","38100","40050","46720","51280","58100","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13240","13440","14630","14730","15590","16190","16440","16800","19320","18530","19470","21240","22340","23270","24460","26320","28310","30740","34260","33820","32970","34190","31610","30020","29280","31610","34300","36810","38930","39850","36840",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11820","12180","12800","13720","14440","14600","14760","15110","15930","17130","17600","18860","19920","21070","22400","24560","26270","25860","25810","26660","27370","28860","30270","31570","33660","36630","38800","40360","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19630","21020","21730","21860","22740","23480","24020","24520","25200","26110","27060","28180","28870","29570","31500","32060","34690","36770","38160","37670","39760","43630","44400","46040","47950","48690","51830","54210","56440","57410","55220",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4210","4490","4850","4950","5100","5520","5610","5620",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4190","4350","4540","4760","4770","4970","5140","5420","5780","5720","5750","6160","6000","6510","6780","7100","7980","8630","9490","9570","9830","9980","9570","9860","10560","10750","11510","11340","11800","12200","10740",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17580","18350","19160","19680","21160","22230","23220","24470","25450","26370","28020","29020","30260","30510","32950","34430","37740","39150","41740","40760","43740","45340","45820","48210","49640","50550","53250","56570","59060","62120","62180",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3540","3620","4040","4290","4440","4710","5030","5490","5820","6140","6480","6680","6990","6760","6910","7920","8830","9600","10110","10160","11000","11410","11430","11890","12820","14130","15420","15940","17350","18310","17060",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6660","6510","6690","6630","6530","6710","6980","7120","7490","7690","8030","8500","8930","9620","10140","10840","11310","12130","12550","12600","13060","13360","13060","12770","12710","11690","11510","11560","11620","11700","11010",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1419.78988734039","1557.72698448553","1731.97954156176","1936.04171301425","2162.74852553132","2370.0790764094","2596.10724335848","2787.81027605021","2799.23591900774","2968.03544980653","3233.94064276253","3498.62897282239","3805.90393589146","4176.00146884273","4630.82810412989","5157.35574935974","5852.92523224053","6692.1304626156","7354.17460271243","7850.43569992561","8643.4591911465","9456.8945169127","10288.6151055749","10828.9439444439","11413.6792674883","11700.6780373235","12220.4972773348","12910.3264905676","13927.6783363081","14930.1189056898","15093.5665556534",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2862.76029845613","3041.87751641869","3181.24892010931","3278.3457749332","3377.8774933994","3498.82929379666","3690.0810696046","3845.53388329738","3811.50417512378","3881.14667000212","4071.40048250297","4184.48234636519","4261.99783508139","4496.15862022906","4831.90409910939","5201.79348573363","5659.54900620963","6095.98980301432","6388.82634059302","6483.92932543614","6878.20316003473","7274.76294467887","7637.30996862684","7871.62516987438","8093.76295531285","8197.00026163414","8459.429762022","8886.90479827112","9309.22390557194","9568.54162581841","9120.52871588343",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3194.40377132398","3436.83805730897","3660.09852770007","3904.34565402377","4195.00839856854","4491.28541874405","4811.31996175589","5069.25082490684","5055.68101092025","5285.49047614043","5694.79646154542","6005.93967151862","6385.56911604074","6810.0439778425","7396.91237414518","8019.94348664485","8843.39942331087","9806.24262959363","10448.7467006295","10792.3239408678","11724.4068411827","12585.0485024213","13456.5901922312","14124.4841657255","14720.7976341472","15105.434308872","15588.635328028","16336.125623709","17369.5254307389","18348.6283566764","18551.5740523397",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6854.72635053598","6690.18970852392","6166.10648562235","5968.70537027598","5436.02719437334","5460.92491158063","5533.06410653203","5743.63955679193","5238.58354784602","5401.1135650599","6046.99928975805","6438.52382762739","6903.92375956352","7566.87538075989","8511.65740781244","9527.54738682086","11330.2347226923","12665.512262014","14526.8539284551","14018.5889457458","14972.5537695333","16453.6187978173","17449.9663302183","18767.1026362582","19231.8951839376","18915.2102808946","19356.9279461951","20627.921956574","21968.4973818741","22360.6867728335","22171.5760983393",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11745.788853297","12068.3173827992","12128.736826536","12232.0841411864","12449.629486535","12822.1907664206","13266.5658887668","13880.9910360696","14158.9457237103","14720.5206636392","15875.8035419103","16657.2574289306","17423.7050888291","18079.5680420163","19230.9792099758","20295.5824077324","22418.0044524524","23928.3573450389","25475.6519557259","24899.0957547192","25994.9401871972","27495.1598722593","28248.0166655948","29517.8807663835","30247.6230537647","30640.1038218941","32056.6982056625","33750.4534438336","35427.4980725271","36514.6199174242","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5060","5290","5420","5480","5720","5820","5370","5450","5790","6050","6210","6760","7270","7720","7970","8640","8640","8950","9700","10160","10990","11540","10870","10830","11360","11530","11520","10580",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3620","3820","3990","4120","4280","4490","4710","4950","5200","5460","5820","6080","6150","6330","6630","7010","7640","8290","8890","9140","9330","9440","10840","10930","10640","11310","11040","10800","11350","11820","12210",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17015.7442546297","17938.5152754222","18508.7452881846","18765.5763740505","19536.8987799949","20417.8739307053","21067.9461477204","21945.0981777652","22941.1506929726","23885.1412229033","25363.9346433074","26460.8526648569","27385.9259012816","27820.2846853043","29039.9169324343","30091.6613574427","32588.3643151952","34364.2034374604","35549.6954752259","34909.4375936355","35913.1772840628","37599.6632014207","38032.0879051125","39253.7968130641","40164.0511420371","41095.4221209828","43705.4565851961","45797.8752012812","47813.3853947516","49526.8314793652","",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","950","1190","1280","1390","1540","1590","1600","1530","1630","1630","1540","1530","1560","1550","1570","1410","1450","1470","1610","","","","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","14280","14650","14830","15230","16120","16700","17690","18850","19770","21440","22640","24100","24810","25880","27230","30110","31630","32340","31500","31240","31310","31470","32220","33400","34900","37380","39540","40790","42250","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9810","11050","12360","13710","15870","18250","20450","21640","19980","20650","23530","25110","26980","28310","28750","30870","33040","35620","37940","",
